Municipio,RF_2010,RF_2000,RF_1980
1100015,2,9,
1100023,2,2,1
1100031,2,6,
1100049,2,9,4
1100056,2,6,
1100064,2,6,
1100072,2,6,
1100080,2,1,
1100098,2,9,
1100106,1,3,2
1100114,2,9,
1100122,2,9,3
1100130,2,9,
1100148,2,9,
1100155,2,9,
1100189,2,9,4
1100205,2,5,5
1100254,2,9,
1100262,2,2,
1100288,2,9,
1100296,2,9,
1100304,2,6,6
1100320,2,8,
1100338,1,3,
1100346,2,9,
1100379,2,9,
1100403,2,2,
1100452,2,4,
1100502,2,9,
1100601,2,2,
1100700,2,2,
1100809,2,5,
1100908,2,9,
1100924,2,6,
1100940,2,2,
1101005,2,9,
1101104,2,5,
1101203,2,9,
1101302,2,9,
1101401,2,2,
1101435,2,9,
1101450,2,9,
1101468,2,6,
1101476,2,9,
1101484,2,9,
1101492,2,7,
1101500,2,8,
1101559,2,9,
1101609,2,9,
1101708,2,9,
1101757,2,9,
1101807,2,9,
1200013,5,10,
1200054,5,11,7
1200104,5,12,12
1200138,5,17,
1200179,5,17,
1200203,18,36,8
1200252,5,12,
1200302,7,13,9
1200328,3,14,
1200336,18,36,
1200344,6,15,
1200351,18,16,
1200385,5,17,10
1200393,18,36,
1200401,5,17,10
1200427,18,36,
1200435,4,,
1200450,5,17,10
1200500,6,18,11
1200609,7,19,
1200708,5,20,12
1200807,5,17,
1300029,39,59,
1300060,40,56,
1300086,8,44,
1300102,8,21,13
1300144,9,22,
1300201,37,57,14
1300300,30,23,35
1300409,10,24,15
1300508,59,84,16
1300607,37,57,17
1300631,8,25,
1300680,29,47,
1300706,11,26,18
1300805,30,27,19
1300839,26,44,
1300904,12,28,
1301001,13,29,20
1301100,26,30,32
1301159,26,44,
1301209,14,31,21
1301308,8,32,22
1301407,15,33,23
1301506,16,34,
1301605,17,35,24
1301654,18,36,
1301704,19,37,25
1301803,20,38,26
1301852,26,44,
1301902,41,62,42
1301951,21,39,
1302009,41,62,27
1302108,22,40,
1302207,23,41,28
1302306,24,42,29
1302405,25,43,30
1302504,26,44,31
1302553,26,44,
1302603,26,44,32
1302702,27,45,33
1302801,28,46,
1302900,29,47,34
1303007,59,84,55
1303106,30,48,35
1303205,31,49,36
1303304,32,50,37
1303403,59,84,55
1303502,33,51,38
1303536,34,52,
1303569,26,44,
1303601,35,53,
1303700,40,54,39
1303809,36,55,40
1303908,40,56,41
1303957,41,61,
1304005,41,62,42
1304062,37,57,
1304104,38,58,
1304203,39,59,43
1304237,40,56,
1304260,39,60,
1304302,41,61,44
1304401,41,62,45
1400027,42,63,
1400050,44,64,
1400100,44,67,46
1400159,43,65,
1400175,44,67,
1400209,44,66,47
1400233,47,71,
1400282,44,67,
1400308,44,67,
1400407,45,68,
1400456,46,69,
1400472,47,70,
1400506,47,71,
1400605,47,71,
1400704,48,72,
1500107,57,117,74
1500131,70,115,
1500206,57,117,74
1500305,65,103,48
1500347,70,111,
1500404,59,84,72
1500503,66,105,68
1500602,63,97,76
1500701,49,73,49
1500800,57,117,74
1500859,55,74,
1500909,57,117,74
1500958,57,117,
1501006,50,75,50
1501105,57,117,51
1501204,57,117,62
1501253,70,76,
1501303,57,117,74
1501402,57,117,74
1501451,59,84,
1501501,57,117,74
1501576,70,115,
1501600,57,117,74
1501709,57,117,74
1501725,63,77,
1501758,70,115,
